reference_number,pub_label,year,doi,affiliation,country,vaccine_type,regimen,complication,age,include,qBR_measure,stratified_by_age,stratified_by_sex,benefit_measure,authors_conclusion,condition,comment
11,"Australian government, 2021",2021,NA,Australian government,Australia,AstraZeneca,primary,TTS,18-,TRUE,rate,TRUE,FALSE,"prevented hospitalization, ICU, death",not given,comparable for adult and young_adult at low transmission,They assume vaccinated people are 80% less likely to get severe illness. 
12,"Bardosh et al., 2024",2022,10.1136/jme-2022-108449,University of Washington,USA,mRNA,booster,myocarditis,18-29,TRUE,rate,TRUE,TRUE,prevented hospitalization,harm,comparable to harm depending on data source,The scenario is booster shots under omicron.
13,"Corrao et al., 2022",2022,10.1186/s12879-022-07823-3,University of Milano-Bicocca,Italy,multiple,"primary, booster",myocarditis,12-,TRUE,"NNT, NNH",TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,"Benefit for female. Comparable or benefit for young adult male, harm, comparable, or benefit for underage male depending on the vaccine, with Pfizer showing higher benefit-risk ratio than Moderna.",NNT was higher than NNH (9471 vs. 7213) for 16 to 19-year-old men who received the Moderna vaccine. Only 10% has received booster vaccine. 
14,NA,2022,10.3390/vaccines10060845,University of Milano-Bicocca,Italy,"mRNA, AstraZeneca",primary,NA,12-,FALSE,NA,NA,NA,NA,NA,NA,They only look at risk factors for covid infection and illness among fully vaccinated population.
15,"KCE, 2021",2021,NA,KCE,Belgium,Janssen,primary,TTS,20-,TRUE,rate,TRUE,FALSE,"prevented hospitalization, ICU, death",not given,always,"May be considered comparable at low transmission if compared with prevented ICU, instead of hospitalization."
16,"EMA, 2021",2021,NA,EMA,EU,AstraZeneca,primary,TTS,20-,TRUE,rate,TRUE,FALSE,"prevented hospitalization, ICU, death",benefit,Comparable for adults (< 49) at low transmission,
17,"Funk et al., 2022",2022,10.1016/j.vaccine.2022.03.030,FDA,USA,Pfizer,primary,myocarditis,16-29,TRUE,rate,TRUE,TRUE,"prevented cases, hospitalization, ICU, death",benefit,Comparable for 16-17 male at lost transmission,Underage include 16-17 years old. The authors still consider benefits ourweigh risks due to different clinical implications of hospitalization due to COVID-19 and myo- or pericarditis
18,"Gurdasani et al., 2021",2021,10.1177/01410768211052589,Queen Mary University of London,UK,mRNA,primary,myocarditis, 12-17,TRUE,rate,TRUE,FALSE,"Estimated number of hospitalization, ICU, death between vaccinated and unvaccinated",benefit,Comrapable at low transmission. ,The authors still consider benefits outweigh risks if prevented ICU admission and death is taken into account. 
19,"Hawkes et al., 2022",2022,10.1128/mbio.03789-21,University of Alberta,Australia,Pfizer,primary,"myocarditis, anaphylaxis", 5-11,TRUE,rate,TRUE,FALSE,"Simulated number of cases, hospitalization, death between different child vaccination coverage (0 or 80%)",benefit,may be comparable for Alberta if anaphylaxic is also considered,"Authors say ""small benefit with minimal risk"" for children, but additional benefits for wider population, preventing hospitalization and death of mostly unvaccinated people. "
20,NA,2021,NA,JCVI,UK,Pfizer,primary,NA,0-17,FALSE,NA,NA,NA,prevented cases,NA,NA,"The document focuses on child vaccination in context of protecting people with underlying medical conditions. They recommend vaccination of children with underlying health condition, or those who live with immunosuppressed people. This document is no longer available on the link."
